,Photo produit 1,Photo produit 2,Nom produit,Lien achat,Catégorie produit,Genre,cielab_colors
54,https://wasted.fr/cdn/shop/products/hoodie-zip-ace-738972_2048x2048.jpg?v=1688743423,-,Hoodie Zip Ace,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-ace,Hoodie,H/F,"[6.666666666666667, 0.0, -1.0]"
55,https://wasted.fr/cdn/shop/products/hoodie-psycho-candy-599601_2048x2048.jpg?v=1689958842,-,Hoodie Psycho Candy,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-psycho-candy,Hoodie,H/F,"[66.66666666666666, 12.0, 6.0]"
56,https://wasted.fr/cdn/shop/products/hoodie-sight-854297_2048x2048.jpg?v=1689958844,-,Hoodie Sight,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-sight,Hoodie,H/F,"[9.411764705882353, 0.0, 0.0]"
57,https://wasted.fr/cdn/shop/products/hoodie-zip-crown-pitcher-690943_2048x2048.jpg?v=1689958856,-,Hoodie Zip Crown Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-crown-pitcher,Hoodie,H/F,"[9.411764705882353, 0.0, 0.0]"
58,https://wasted.fr/cdn/shop/products/hoodie-zip-crown-pitcher-736902_2048x2048.jpg?v=1689958848,-,Hoodie Zip Crown Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-crown-pitcher-1,Hoodie,H/F,"[75.68627450980392, 0.0, 0.0]"
59,https://wasted.fr/cdn/shop/products/hoodie-zip-crown-pitcher-736902_2048x2048.jpg?v=1689958848,-,Hoodie Zip Crown Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-crown-pitcher-1,Hoodie,H/F,"[82.74509803921568, 0.0, 0.0]"
60,https://wasted.fr/cdn/shop/products/hoodie-zip-crown-pitcher-789275_2048x2048.jpg?v=1689958853,-,Hoodie Zip Crown Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-crown-pitcher-2,Hoodie,H/F,"[84.70588235294117, -1.0, 6.0]"
61,https://wasted.fr/cdn/shop/products/hoodie-iron-pitcher-786352_2048x2048.jpg?v=1694673158,-,Hoodie Iron Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/copie-de-hoodie-iron-pitcher,Hoodie,H/F,"[27.450980392156865, 11.0, 12.0]"
62,https://wasted.fr/cdn/shop/products/hoodie-fate-711901_2048x2048.jpg?v=1699192983,-,Hoodie Fate,https://wasted.fr/collections/hoodies-sweats-2/products/copie-de-hoodie-always-faithful,Hoodie,H/F,"[12.156862745098039, 0.0, 0.0]"
63,https://wasted.fr/cdn/shop/products/hoodie-fate-711901_2048x2048.jpg?v=1699192983,-,Hoodie Fate,https://wasted.fr/collections/hoodies-sweats-2/products/copie-de-hoodie-always-faithful,Hoodie,H/F,"[5.88235294117647, 0.0, 0.0]"
